SSID,BSSID,Channel,Frequency,Signal (dBm),PHY Type
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-76,5
